"","logFC","logCPM","F","PValue","FDR"
"rno-miR-378b",0.708138401628072,1.11742916873485,0.680319303331339,0.668535738563559,1
"novel_259",0.705628970141357,1.15898653379474,0.614097241043289,0.659357240294717,1
"rno-miR-200c-3p",0.702539634470193,2.16559871217349,3.79375007508209,0.330144837679427,1
"rno-miR-450a-3p",0.691141434230414,1.27807534021918,0.866865257505463,0.624378821805985,1
"rno-miR-154-3p",0.673324791547556,2.55513604303812,3.43060063453957,0.251562657313182,1
"rno-miR-3084a-5p",0.663600762482218,1.5480504462663,0.859420763542677,0.543458721843396,1
"rno-miR-3084b-5p",0.663600762482218,1.5480504462663,0.859420763542677,0.543458721843396,1
"rno-miR-665",0.635618590481372,2.48635664828095,2.83698255007151,0.294892381034346,1
"rno-let-7f-1-3p",0.624300702642301,1.69784759129348,1.72273517375084,0.519860809294814,1
"rno-miR-224-5p",0.600858794073676,1.69617946654749,1.62326705521143,0.535837816953985,1
"rno-miR-504",0.598281573978054,1.62916072975976,1.36362205229371,0.557873301032487,1
"rno-miR-743b-3p",0.594775909633635,1.34295058992103,1.12884204648015,0.6511962892852,1
"rno-miR-1306-3p",0.586452088397414,1.34458576573487,1.08542706417846,0.655150384841683,1
"rno-miR-489-3p",0.576544711977582,1.06474846890776,0.568231105055563,0.724523830937016,1
"rno-miR-96-5p",0.568186654446603,1.89239597075485,0.805818037726099,0.502150087746333,1
"novel_334",0.564299300396567,1.25982309163155,0.465466207387241,0.693993294609207,1
"rno-miR-376a-3p",0.562655264813499,2.56050135941244,2.62531371633735,0.334822111929086,1
"rno-miR-107-5p",0.553062050200482,1.26189741942683,0.421615947383688,0.699068562942169,1
"rno-miR-483-5p",0.547658266111659,1.22775890904237,0.514382038068247,0.712185240107626,1
"novel_2",0.5411035262494,2.48903332196732,2.06358116097255,0.370373587069759,1
"rno-miR-466c-5p",0.529771853431425,1.50062881547895,1.07432494220246,0.639891624891312,1
"rno-miR-874-5p",0.521521742240069,1.64673710600115,0.783083476954327,0.603751259413081,1
"rno-miR-1188-5p",0.511461169051175,2.20972483462755,1.27362759936165,0.464463313327384,1
"rno-miR-1193-5p",0.505802433034132,1.3654074715904,0.504700246807951,0.693452498507628,1
"rno-miR-1247-3p",0.496386527732274,1.01839676197032,0.946066070273131,0.644064482379776,1
