"","miRNA_ID","logFC","logCPM","F","PValue","FDR","hip_Control_1.x","hip_Control_2.x","hip_Control_3.x","hip_PPCE_1.x","hip_PPCE_2.x","hip_PPCE_3.x","hip_Control_1.y","hip_Control_2.y","hip_Control_3.y","hip_PPCE_1.y","hip_PPCE_2.y","hip_PPCE_3.y"
"70","rno-let-7i-5p",-0.206398253281959,13.7351463511839,5.42266211370194,0.0369661743469593,0.437814596275833,90988,90445,107541,107193,94847,79866,13384.721683581,14508.0002893067,15917.9356536903,13384.8239022394,12305.0581933807,12303.2173725338
"71","rno-miR-543-3p",0.435297662408587,8.8941563682189,5.35554855791176,0.0411683528825665,0.467927616566636,3071,2055,2883,3815,3437,4624,451.757157979924,329.636139029523,426.734068769948,476.366023779943,445.90218995487,712.319098622644
"72","rno-miR-187-3p",0.353089118641204,6.68423125233936,5.09141117971253,0.0422356251586311,0.473390965319656,629,549,574,798,1033,687,92.5285745260085,88.0633772881791,84.9619686000521,99.6435352493825,134.017155142095,105.831146356781
"73","rno-miR-143-3p",0.863592094816845,14.8600574197532,7.01538713801906,0.046378012321839,0.47504956866767,162906,116188,139578,177353,363289,297890,23964.165280976,18637.3546090327,20659.968037035,22145.4635427114,47131.6149800741,45889.4325883866
"74","rno-miR-873-3p",0.792551748954023,3.45392178130029,11.0266416805906,0.0450154212932225,0.47504956866767,54,42,33,85,95,73,7.94362960954604,6.73708897286616,4.8845731076685,10.6136597696711,12.3249077817028,11.2455221019578
"75","rno-miR-3579",0.490840583468004,7.53360905340765,4.98459500101251,0.04749202311074,0.47504956866767,1140,963,911,1386,1295,1958,167.698847312639,154.471825735003,134.843821245031,173.065087538401,168.007953445318,301.626469529225
"76","rno-miR-380-5p",0.49072234707174,7.53399987635129,4.97441635623097,0.0476815552194315,0.47504956866767,1141,963,911,1386,1295,1959,167.845951564667,154.471825735003,134.843821245031,173.065087538401,168.007953445318,301.780517777197
"77","rno-miR-673-3p",0.426578072556991,5.05428256953375,4.87962360078151,0.0460736472137701,0.47504956866767,178,186,161,222,298,267,26.1845568610962,29.8356797369787,23.8307960707463,27.7203819866703,38.661289673131,41.1308822085307
"78","rno-miR-337-5p",0.313115573629791,7.22093151364719,4.81245659548007,0.0473765302315232,0.47504956866767,977,712,917,1246,1297,1075,143.720854231972,114.209698778112,135.731925446425,155.583765564825,168.26742518809,165.601866569927
"79","rno-miR-378a-3p",0.236748574522547,10.7650715059236,4.97811747415259,0.0442393228900276,0.47504956866767,11133,9193,11310,14364,15912,11590,1637.71163783474,1474.62045065616,1674.07641962821,1793.58363448888,2064.35718549953,1785.41919399577
"80","rno-miR-3557-5p",0.236659355180732,10.7651124196587,4.97355975558136,0.0443222658947317,0.47504956866767,11133,9193,11312,14364,15912,11590,1637.71163783474,1474.62045065616,1674.372454362,1793.58363448888,2064.35718549953,1785.41919399577
"81","rno-miR-137-3p",-0.284128753439893,8.12570233140787,4.87893106558134,0.0460868615832913,0.47504956866767,1989,2053,1969,1842,2044,1657,292.590357284946,329.31532526891,291.446195424221,230.004250538048,265.18012111369,255.257946889646
"82","rno-miR-200b-3p",1.32323707974804,2.92220791820188,5.29833221112923,0.0500482937285226,0.491602882916146,20,31,10,54,28,89,2.94208504057261,4.97261328949645,1.48017366899046,6.74279561837927,3.63260439881768,13.7102940695102
"83","rno-miR-361-5p",-0.301766586160284,6.78198333401567,4.6571294822612,0.0505613869665924,0.491602882916146,863,717,783,733,741,667,126.950969500708,115.011733179644,115.897598281953,91.5272071902223,96.1342806972821,102.750181397341
