"","miRNA_ID","hip_Control_1.x","hip_Control_2.x","hip_Control_3.x","hip_PPCE_1.x","hip_PPCE_2.x","hip_PPCE_3.x","hip_Control_1.y","hip_Control_2.y","hip_Control_3.y","hip_PPCE_1.y","hip_PPCE_2.y","hip_PPCE_3.y"
"88","rno-miR-6331",613,525,504,803,692,1557,90.1749064935504,84.213612160827,74.600752917119,100.26786817701,89.7772229993512,239.853122092443
"89","rno-miR-665",20,21,14,22,31,42,2.94208504057261,3.36854448643308,2.07224313658664,2.74706488156192,4.02181201297671,6.47002641482505
"90","rno-miR-666-3p",3,2,2,6,1,1,0.441312756085891,0.320813760612674,0.296034733798091,0.749199513153252,0.129735871386346,0.154048247972025
"91","rno-miR-666-5p",46,40,28,40,93,65,6.76679559331699,6.41627521225349,4.14448627317328,4.99466342102168,12.0654360389301,10.0131361181816
"92","rno-miR-667-3p",292,254,314,316,1273,429,42.9544415923601,40.7433475978096,46.4774532063003,39.4578410260713,165.153764274818,66.0866983799988
"93","rno-miR-667-5p",182,189,184,208,260,347,26.7729738692107,30.3169003778977,27.2351955094244,25.9722497893127,33.7313265604499,53.4547420462927
"94","rno-miR-668",248,187,229,289,387,377,36.4818545031003,29.9960866172851,33.8959770198814,36.0864432168816,50.2077822265158,58.0761894854535
"95","rno-miR-673-3p",178,186,161,222,298,267,26.1845568610962,29.8356797369787,23.8307960707463,27.7203819866703,38.661289673131,41.1308822085307
"96","rno-miR-673-5p",22,9,7,20,18,18,3.23629354462987,1.44366192275703,1.03612156829332,2.49733171051084,2.33524568495422,2.77286846349645
"97","rno-miR-758-3p",662,502,506,963,716,613,97.3830148429533,80.5242539137813,74.8967876509171,120.246521861097,92.8908839126235,94.4315760068514
"98","rno-miR-770-3p",789,483,590,1587,1156,997,116.065254850589,77.4765231879609,87.3302464704369,198.163271229035,149.974667322616,153.586103228109
"99","rno-miR-770-5p",59,53,45,77,57,65,8.67915086968919,8.50156465623587,6.66078151045705,9.61472708546673,7.3949446690217,10.0131361181816
